Symbol,Name,Market Cap
MMM,3M,2.5520616
AOS,A. O. Smith,2.5060778
ABT,Abbott Laboratories,5.3834457
ABBV,AbbVie,5.8519626
ACN,Accenture,3.7101948
ADBE,Adobe Inc.,9.090657
AMD,Advanced Micro Devices,7.939341
AES,AES Corporation,0.63670605
AFL,Aflac,3.4477284
A,Agilent Technologies,
APD,Air Products,6.1612473
ABNB,Airbnb,7.560086
AKAM,Akamai Technologies,3.7838497
ALB,Albemarle Corporation,1.5219512
ARE,Alexandria Real Estate Equities,5.461276
ALGN,Align Technology,4.1300755
ALLE,Allegion,3.098315
LNT,Alliant Energy,3.809518
ALL,Allstate,0.8157605
GOOGL,Alphabet Inc. (Class A),7.377482
GOOG,Alphabet Inc. (Class C),7.3700066
MO,Altria,4.3366394
AMZN,Amazon,4.030144
AMCR,Amcor,1.0400041
AMTM,Amentum,0.9084834
AEE,Ameren,3.5625699
AEP,American Electric Power,2.6723068
AXP,American Express,3.7796535
AIG,American International Group,1.0143012
AMT,American Tower,7.7388453
AWK,American Water Works,5.380197
AMP,Ameriprise Financial,2.9963448
AME,Ametek,6.1776185
AMGN,Amgen,4.7157645
APH,Amphenol,5.9956913
ADI,Analog Devices,10.837489
ANSS,Ansys,12.420753
AON,Aon,5.37289
APA,APA Corporation,0.9059674
AAPL,Apple Inc.,9.1369095
AMAT,Applied Materials,5.499513
APTV,Aptiv,0.74961275
ACGL,Arch Capital Group,2.1097374
ADM,Archer Daniels Midland,0.27617267
ANET,Arista Networks,21.950539
AJG,Arthur J. Gallagher & Co.,7.067648
AIZ,Assurant,0.93881625
T,AT&T,1.4121547
ATO,Atmos Energy,5.416576
ADSK,Autodesk,11.55841
ADP,Automatic Data Processing,6.3149424
AZO,AutoZone,3.040729
AVB,AvalonBay Communities,10.767874
AVY,Avery Dennison,1.7191103
AXON,Axon Enterprise,25.629044
BKR,Baker Hughes,1.6738576
BALL,Ball Corporation,1.2058272
BAC,Bank of America,3.7239535
BAX,Baxter International,1.1037542
BDX,Becton Dickinson,3.6214435
BRK.B,Berkshire Hathaway,
BBY,Best Buy,0.43154255
TECH,Bio-Techne,9.974972
BIIB,Biogen,2.183017
BLK,BlackRock,8.603501
BX,Blackstone Inc.,19.417854
BK,BNY Mellon,3.4644256
BA,Boeing,1.8044237
BKNG,Booking Holdings,6.8547063
BWA,BorgWarner,0.49237984
BSX,Boston Scientific,9.481568
BMY,Bristol Myers Squibb,2.5286424
AVGO,Broadcom,22.154697
BR,Broadridge Financial Solutions,4.284815
BRO,Brown & Brown,6.5651097
BF.B,Brown–Forman,
BLDR,Builders FirstSource,1.1506404
BG,Bunge Global,0.19503513
BXP,"BXP, Inc.",3.8590477
CHRW,C.H. Robinson,0.66209275
CDNS,Cadence Design Systems,18.747797
CZR,Caesars Entertainment,0.67961174
CPT,Camden Property Trust,7.793328
CPB,Campbell Soup Company,1.1994277
COF,Capital One,2.930912
CAH,Cardinal Health,0.13308874
KMX,CarMax,0.47586256
CCL,Carnival,1.5281179
CARR,Carrier Global,2.3866007
CTLT,Catalent,2.6056945
CAT,Caterpillar Inc.,2.7310545
CBOE,Cboe Global Markets,5.4076476
CBRE,CBRE Group,1.2908531
CDW,CDW,1.2739638
CE,Celanese,0.7410559
COR,Cencora,0.1676431
CNC,Centene Corporation,0.22110547
CNP,CenterPoint Energy,2.4788916
CF,CF Industries,2.6819963
CRL,Charles River Laboratories,2.0849042
SCHW,Charles Schwab Corporation,8.081977
CHTR,Charter Communications,0.89377826
CVX,Chevron Corporation,1.4539505
CMG,Chipotle Mexican Grill,7.23788
CB,Chubb Limited,1.991762
CHD,Church & Dwight,4.2709007
CI,Cigna,0.35060942
CINF,Cincinnati Financial,1.7624824
CTAS,Cintas,8.296421
CSCO,Cisco,4.5559354
C,Citigroup,2.217049
CFG,Citizens Financial Group,2.9454155
CLX,Clorox,2.6297452
CME,CME Group,14.124489
CMS,CMS Energy,2.6377487
KO,Coca-Cola Company (The),5.950795
CTSH,Cognizant,2.110036
CL,Colgate-Palmolive,3.5230706
CMCSA,Comcast,1.0439879
CAG,Conagra Brands,1.0348368
COP,ConocoPhillips,2.245846
ED,Consolidated Edison,2.160666
STZ,Constellation Brands,3.2693136
CEG,Constellation Energy,4.0249505
COO,Cooper Companies (The),5.065519
CPRT,Copart,13.1743
GLW,Corning Inc.,3.5317805
CPAY,Corpay,6.840616
CTVA,Corteva,2.7327285
CSGP,CoStar Group,11.775071
COST,Costco,1.7094228
CTRA,Coterra,3.7123578
CRWD,CrowdStrike,27.884487
CCI,Crown Castle,5.885168
CSX,CSX Corporation,4.317632
CMI,Cummins,1.4290627
CVS,CVS Health,0.19353512
DHI,D. R. Horton,1.2370625
DHR,Danaher Corporation,6.7463713
DRI,Darden Restaurants,2.0034146
DVA,DaVita,1.1410017
DAY,Dayforce,6.5834746
DECK,Deckers Brands,7.2787676
DE,Deere & Company,2.319571
DELL,Dell Technologies,0.78705394
DAL,Delta Air Lines,0.7197846
DVN,Devon Energy,1.5417639
DXCM,Dexcom,8.577482
FANG,Diamondback Energy,5.2409425
DLR,Digital Realty,10.307729
DFS,Discover Financial,4.324502
DG,Dollar General,0.39387932
DLTR,Dollar Tree,0.5093638
D,Dominion Energy,3.199901
DPZ,Domino's,3.3242092
DOV,Dover Corporation,3.2973301
DOW,Dow Inc.,0.6363151
DTE,DTE Energy,1.9997799
DUK,Duke Energy,2.9078102
DD,DuPont,2.6327875
EMN,Eastman Chemical Company,1.2361655
ETN,Eaton Corporation,5.2432065
